date,value,classification
01-10-22,20,Extreme Fear
02-10-22,24,Extreme Fear
03-10-22,24,Extreme Fear
04-10-22,20,Extreme Fear
05-10-22,25,Extreme Fear
06-10-22,26,Fear
07-10-22,23,Extreme Fear
08-10-22,24,Extreme Fear
09-10-22,22,Extreme Fear
10-10-22,22,Extreme Fear
11-10-22,24,Extreme Fear
12-10-22,20,Extreme Fear
13-10-22,20,Extreme Fear
14-10-22,24,Extreme Fear
15-10-22,24,Extreme Fear
16-10-22,24,Extreme Fear
17-10-22,20,Extreme Fear
18-10-22,22,Extreme Fear
19-10-22,23,Extreme Fear
20-10-22,23,Extreme Fear
21-10-22,23,Extreme Fear
22-10-22,20,Extreme Fear
23-10-22,23,Extreme Fear
24-10-22,22,Extreme Fear
25-10-22,20,Extreme Fear
26-10-22,33,Fear
27-10-22,32,Fear
28-10-22,30,Fear
29-10-22,34,Fear
30-10-22,34,Fear
31-10-22,31,Fear
01-11-22,30,Fear
02-11-22,30,Fear
03-11-22,30,Fear
04-11-22,30,Fear
05-11-22,38,Fear
06-11-22,40,Fear
07-11-22,33,Fear
08-11-22,31,Fear
09-11-22,29,Fear
10-11-22,22,Extreme Fear
11-11-22,25,Extreme Fear
12-11-22,21,Extreme Fear
13-11-22,22,Extreme Fear
14-11-22,24,Extreme Fear
15-11-22,22,Extreme Fear
16-11-22,23,Extreme Fear
17-11-22,20,Extreme Fear
18-11-22,23,Extreme Fear
19-11-22,23,Extreme Fear
20-11-22,24,Extreme Fear
21-11-22,21,Extreme Fear
22-11-22,22,Extreme Fear
23-11-22,22,Extreme Fear
24-11-22,20,Extreme Fear
25-11-22,20,Extreme Fear
26-11-22,22,Extreme Fear
27-11-22,26,Fear
28-11-22,28,Fear
29-11-22,26,Fear
30-11-22,29,Fear
01-12-22,27,Fear
02-12-22,27,Fear
03-12-22,27,Fear
04-12-22,26,Fear
05-12-22,26,Fear
06-12-22,25,Extreme Fear
07-12-22,29,Fear
08-12-22,25,Extreme Fear
09-12-22,26,Fear
10-12-22,27,Fear
11-12-22,26,Fear
12-12-22,27,Fear
13-12-22,27,Fear
14-12-22,30,Fear
15-12-22,31,Fear
16-12-22,29,Fear
17-12-22,28,Fear
18-12-22,26,Fear
19-12-22,29,Fear
20-12-22,29,Fear
21-12-22,26,Fear
22-12-22,28,Fear
23-12-22,27,Fear
24-12-22,29,Fear
25-12-22,29,Fear
26-12-22,28,Fear
27-12-22,27,Fear
28-12-22,28,Fear
29-12-22,28,Fear
30-12-22,28,Fear
31-12-22,25,Extreme Fear
01-01-23,26,Fear
02-01-23,27,Fear
03-01-23,26,Fear
04-01-23,29,Fear
05-01-23,29,Fear
06-01-23,26,Fear
07-01-23,25,Extreme Fear
08-01-23,25,Extreme Fear
09-01-23,25,Extreme Fear
10-01-23,26,Fear
11-01-23,26,Fear
12-01-23,30,Fear
13-01-23,31,Fear
14-01-23,46,Fear
15-01-23,52,Neutral
16-01-23,45,Fear
17-01-23,51,Neutral
18-01-23,52,Neutral
19-01-23,45,Fear
20-01-23,51,Neutral
21-01-23,53,Neutral
22-01-23,53,Neutral
23-01-23,50,Neutral
24-01-23,52,Neutral
25-01-23,51,Neutral
26-01-23,54,Neutral
27-01-23,55,Greed
28-01-23,52,Neutral
29-01-23,55,Greed
30-01-23,61,Greed
31-01-23,51,Neutral
01-02-23,56,Greed
02-02-23,60,Greed
03-02-23,60,Greed
04-02-23,58,Greed
05-02-23,58,Greed
06-02-23,56,Greed
07-02-23,54,Neutral
08-02-23,58,Greed
09-02-23,55,Greed
10-02-23,48,Neutral
11-02-23,49,Neutral
12-02-23,50,Neutral
13-02-23,48,Neutral
14-02-23,50,Neutral
15-02-23,53,Neutral
16-02-23,62,Greed
17-02-23,61,Greed
18-02-23,60,Greed
19-02-23,60,Greed
20-02-23,58,Greed
21-02-23,60,Greed
22-02-23,59,Greed
23-02-23,56,Greed
24-02-23,53,Neutral
25-02-23,52,Neutral
26-02-23,51,Neutral
27-02-23,50,Neutral
28-02-23,53,Neutral
01-03-23,50,Neutral
02-03-23,51,Neutral
03-03-23,50,Neutral
04-03-23,50,Neutral
05-03-23,47,Neutral
06-03-23,48,Neutral
07-03-23,49,Neutral
08-03-23,50,Neutral
09-03-23,44,Fear
10-03-23,34,Fear
11-03-23,33,Fear
12-03-23,33,Fear
13-03-23,49,Neutral
14-03-23,56,Greed
15-03-23,50,Neutral
16-03-23,52,Neutral
17-03-23,51,Neutral
18-03-23,64,Greed
19-03-23,63,Greed
20-03-23,66,Greed
21-03-23,68,Greed
22-03-23,62,Greed
23-03-23,57,Greed
24-03-23,61,Greed
25-03-23,64,Greed
26-03-23,64,Greed
27-03-23,64,Greed
28-03-23,59,Greed
29-03-23,57,Greed
30-03-23,60,Greed
31-03-23,63,Greed
01-04-23,61,Greed
02-04-23,63,Greed
03-04-23,63,Greed
04-04-23,62,Greed
05-04-23,62,Greed
06-04-23,63,Greed
07-04-23,64,Greed
08-04-23,61,Greed
09-04-23,61,Greed
10-04-23,62,Greed
11-04-23,68,Greed
12-04-23,65,Greed
13-04-23,61,Greed
14-04-23,68,Greed
15-04-23,68,Greed
16-04-23,68,Greed
17-04-23,69,Greed
18-04-23,58,Greed
19-04-23,63,Greed
20-04-23,52,Neutral
21-04-23,50,Neutral
22-04-23,53,Neutral
23-04-23,56,Greed
24-04-23,53,Neutral
25-04-23,53,Neutral
26-04-23,56,Greed
27-04-23,59,Greed
28-04-23,64,Greed
29-04-23,64,Greed
30-04-23,60,Greed
01-05-23,63,Greed
02-05-23,55,Greed
03-05-23,64,Greed
04-05-23,64,Greed
05-05-23,61,Greed
06-05-23,60,Greed
07-05-23,64,Greed
08-05-23,60,Greed
09-05-23,51,Neutral
10-05-23,52,Neutral
11-05-23,52,Neutral
12-05-23,49,Neutral
13-05-23,48,Neutral
14-05-23,48,Neutral
15-05-23,50,Neutral
16-05-23,54,Neutral
17-05-23,50,Neutral
18-05-23,51,Neutral
19-05-23,48,Neutral
20-05-23,48,Neutral
21-05-23,52,Neutral
22-05-23,49,Neutral
23-05-23,50,Neutral
24-05-23,50,Neutral
25-05-23,51,Neutral
26-05-23,49,Neutral
27-05-23,48,Neutral
28-05-23,50,Neutral
29-05-23,52,Neutral
30-05-23,51,Neutral
31-05-23,51,Neutral
01-06-23,52,Neutral
02-06-23,50,Neutral
03-06-23,53,Neutral
04-06-23,52,Neutral
05-06-23,53,Neutral
06-06-23,44,Fear
07-06-23,53,Neutral
08-06-23,50,Neutral
09-06-23,50,Neutral
10-06-23,49,Neutral
11-06-23,47,Neutral
12-06-23,47,Neutral
13-06-23,45,Fear
14-06-23,46,Fear
15-06-23,41,Fear
16-06-23,47,Neutral
17-06-23,47,Neutral
18-06-23,49,Neutral
19-06-23,47,Neutral
20-06-23,49,Neutral
21-06-23,59,Greed
22-06-23,65,Greed
23-06-23,65,Greed
24-06-23,62,Greed
25-06-23,64,Greed
26-06-23,55,Greed
27-06-23,59,Greed
28-06-23,62,Greed
29-06-23,54,Neutral
30-06-23,56,Greed
01-07-23,59,Greed
02-07-23,63,Greed
03-07-23,62,Greed
04-07-23,64,Greed
05-07-23,61,Greed
06-07-23,56,Greed
07-07-23,55,Greed
08-07-23,58,Greed
09-07-23,55,Greed
10-07-23,56,Greed
11-07-23,57,Greed
12-07-23,64,Greed
13-07-23,57,Greed
14-07-23,60,Greed
15-07-23,56,Greed
16-07-23,57,Greed
17-07-23,54,Neutral
18-07-23,56,Greed
19-07-23,50,Neutral
20-07-23,56,Greed
21-07-23,50,Neutral
22-07-23,52,Neutral
23-07-23,54,Neutral
24-07-23,55,Greed
25-07-23,50,Neutral
26-07-23,51,Neutral
27-07-23,51,Neutral
28-07-23,52,Neutral
29-07-23,52,Neutral
30-07-23,52,Neutral
31-07-23,50,Neutral
01-08-23,53,Neutral
02-08-23,53,Neutral
03-08-23,52,Neutral
04-08-23,54,Neutral
05-08-23,50,Neutral
06-08-23,49,Neutral
07-08-23,49,Neutral
08-08-23,54,Neutral
09-08-23,50,Neutral
10-08-23,53,Neutral
11-08-23,51,Neutral
12-08-23,54,Neutral
13-08-23,54,Neutral
14-08-23,50,Neutral
15-08-23,53,Neutral
16-08-23,52,Neutral
17-08-23,50,Neutral
18-08-23,37,Fear
19-08-23,39,Fear
20-08-23,37,Fear
21-08-23,38,Fear
22-08-23,37,Fear
23-08-23,37,Fear
24-08-23,41,Fear
25-08-23,39,Fear
26-08-23,38,Fear
27-08-23,38,Fear
28-08-23,39,Fear
29-08-23,39,Fear
30-08-23,49,Neutral
31-08-23,52,Neutral
01-09-23,40,Fear
02-09-23,39,Fear
03-09-23,40,Fear
04-09-23,40,Fear
05-09-23,40,Fear
06-09-23,42,Fear
07-09-23,41,Fear
08-09-23,46,Fear
09-09-23,41,Fear
10-09-23,40,Fear
11-09-23,40,Fear
12-09-23,30,Fear
13-09-23,41,Fear
14-09-23,45,Fear
15-09-23,45,Fear
16-09-23,43,Fear
17-09-23,46,Fear
18-09-23,46,Fear
19-09-23,46,Fear
20-09-23,47,Neutral
21-09-23,47,Neutral
22-09-23,43,Fear
23-09-23,47,Neutral
24-09-23,44,Fear
25-09-23,47,Neutral
26-09-23,46,Fear
27-09-23,44,Fear
28-09-23,46,Fear
29-09-23,48,Neutral
30-09-23,47,Neutral
01-10-23,48,Neutral
02-10-23,50,Neutral
03-10-23,50,Neutral
04-10-23,49,Neutral
05-10-23,48,Neutral
06-10-23,50,Neutral
07-10-23,49,Neutral
08-10-23,50,Neutral
09-10-23,50,Neutral
10-10-23,50,Neutral
11-10-23,47,Neutral
12-10-23,45,Fear
13-10-23,44,Fear
14-10-23,47,Neutral
15-10-23,45,Fear
16-10-23,47,Neutral
17-10-23,52,Neutral
18-10-23,50,Neutral
19-10-23,52,Neutral
20-10-23,53,Neutral
21-10-23,63,Greed
22-10-23,53,Neutral
23-10-23,53,Neutral
24-10-23,66,Greed
25-10-23,72,Greed
26-10-23,71,Greed
27-10-23,70,Greed
28-10-23,65,Greed
29-10-23,72,Greed
30-10-23,68,Greed
31-10-23,66,Greed
01-11-23,66,Greed
02-11-23,72,Greed
03-11-23,65,Greed
04-11-23,68,Greed
05-11-23,70,Greed
06-11-23,74,Greed
07-11-23,68,Greed
08-11-23,66,Greed
09-11-23,69,Greed
10-11-23,70,Greed
11-11-23,70,Greed
12-11-23,73,Greed
13-11-23,72,Greed
14-11-23,69,Greed
15-11-23,60,Greed
16-11-23,70,Greed
17-11-23,63,Greed
18-11-23,69,Greed
19-11-23,66,Greed
20-11-23,69,Greed
21-11-23,71,Greed
22-11-23,62,Greed
23-11-23,66,Greed
24-11-23,66,Greed
25-11-23,73,Greed
26-11-23,73,Greed
27-11-23,66,Greed
28-11-23,68,Greed
29-11-23,72,Greed
30-11-23,74,Greed
01-12-23,71,Greed
02-12-23,74,Greed
03-12-23,73,Greed
04-12-23,74,Greed
05-12-23,75,Greed
06-12-23,72,Greed
07-12-23,72,Greed
08-12-23,72,Greed
09-12-23,73,Greed
10-12-23,74,Greed
11-12-23,74,Greed
12-12-23,67,Greed
13-12-23,65,Greed
14-12-23,72,Greed
15-12-23,70,Greed
16-12-23,67,Greed
17-12-23,73,Greed
18-12-23,65,Greed
19-12-23,73,Greed
20-12-23,74,Greed
21-12-23,70,Greed
22-12-23,74,Greed
23-12-23,70,Greed
24-12-23,71,Greed
25-12-23,73,Greed
26-12-23,71,Greed
27-12-23,73,Greed
28-12-23,73,Greed
29-12-23,65,Greed
30-12-23,68,Greed
31-12-23,67,Greed
01-01-24,65,Greed
02-01-24,71,Greed
03-01-24,70,Greed
04-01-24,68,Greed
05-01-24,72,Greed
06-01-24,70,Greed
07-01-24,71,Greed
08-01-24,71,Greed
09-01-24,76,Extreme Greed
10-01-24,73,Greed
11-01-24,76,Extreme Greed
12-01-24,71,Greed
13-01-24,64,Greed
14-01-24,60,Greed
15-01-24,52,Neutral
16-01-24,64,Greed
17-01-24,60,Greed
18-01-24,63,Greed
19-01-24,51,Neutral
20-01-24,52,Neutral
21-01-24,56,Greed
22-01-24,55,Greed
23-01-24,50,Neutral
24-01-24,48,Neutral
25-01-24,52,Neutral
26-01-24,49,Neutral
27-01-24,55,Greed
28-01-24,54,Neutral
29-01-24,55,Greed
30-01-24,61,Greed
31-01-24,60,Greed
01-02-24,63,Greed
02-02-24,63,Greed
03-02-24,60,Greed
04-02-24,60,Greed
05-02-24,60,Greed
06-02-24,64,Greed
07-02-24,62,Greed
08-02-24,66,Greed
09-02-24,72,Greed
10-02-24,74,Greed
11-02-24,71,Greed
12-02-24,70,Greed
13-02-24,79,Extreme Greed
14-02-24,74,Greed
15-02-24,72,Greed
16-02-24,72,Greed
17-02-24,76,Extreme Greed
18-02-24,72,Greed
19-02-24,75,Greed
20-02-24,72,Greed
21-02-24,78,Extreme Greed
22-02-24,74,Greed
23-02-24,76,Extreme Greed
24-02-24,72,Greed
25-02-24,74,Greed
26-02-24,72,Greed
27-02-24,79,Extreme Greed
28-02-24,82,Extreme Greed
29-02-24,80,Extreme Greed
01-03-24,80,Extreme Greed
02-03-24,80,Extreme Greed
03-03-24,83,Extreme Greed
04-03-24,82,Extreme Greed
05-03-24,90,Extreme Greed
06-03-24,75,Greed
07-03-24,82,Extreme Greed
08-03-24,81,Extreme Greed
09-03-24,84,Extreme Greed
10-03-24,79,Extreme Greed
11-03-24,82,Extreme Greed
12-03-24,81,Extreme Greed
13-03-24,81,Extreme Greed
14-03-24,88,Extreme Greed
15-03-24,83,Extreme Greed
16-03-24,81,Extreme Greed
17-03-24,79,Extreme Greed
18-03-24,77,Extreme Greed
19-03-24,79,Extreme Greed
20-03-24,74,Greed
21-03-24,78,Extreme Greed
22-03-24,75,Greed
23-03-24,73,Greed
24-03-24,74,Greed
25-03-24,75,Greed
26-03-24,81,Extreme Greed
27-03-24,83,Extreme Greed
28-03-24,80,Extreme Greed
29-03-24,79,Extreme Greed
30-03-24,75,Greed
31-03-24,75,Greed
01-04-24,79,Extreme Greed
02-04-24,79,Extreme Greed
03-04-24,71,Greed
04-04-24,70,Greed
05-04-24,79,Extreme Greed
06-04-24,75,Greed
07-04-24,78,Extreme Greed
08-04-24,76,Extreme Greed
09-04-24,80,Extreme Greed
10-04-24,78,Extreme Greed
11-04-24,76,Extreme Greed
12-04-24,79,Extreme Greed
13-04-24,72,Greed
14-04-24,72,Greed
15-04-24,74,Greed
16-04-24,65,Greed
17-04-24,67,Greed
18-04-24,57,Greed
19-04-24,66,Greed
20-04-24,66,Greed
21-04-24,72,Greed
22-04-24,73,Greed
23-04-24,71,Greed
24-04-24,72,Greed
25-04-24,72,Greed
26-04-24,70,Greed
27-04-24,67,Greed
28-04-24,65,Greed
29-04-24,67,Greed
30-04-24,67,Greed
01-05-24,54,Neutral
02-05-24,43,Fear
03-05-24,48,Neutral
04-05-24,67,Greed
05-05-24,69,Greed
06-05-24,71,Greed
07-05-24,68,Greed
08-05-24,64,Greed
09-05-24,55,Greed
10-05-24,66,Greed
11-05-24,53,Neutral
12-05-24,56,Greed
13-05-24,57,Greed
14-05-24,66,Greed
15-05-24,64,Greed
16-05-24,70,Greed
17-05-24,74,Greed
18-05-24,73,Greed
19-05-24,72,Greed
20-05-24,70,Greed
21-05-24,76,Extreme Greed
22-05-24,76,Extreme Greed
23-05-24,76,Extreme Greed
24-05-24,74,Greed
25-05-24,76,Extreme Greed
26-05-24,75,Greed
27-05-24,74,Greed
28-05-24,72,Greed
29-05-24,72,Greed
30-05-24,73,Greed
31-05-24,73,Greed
01-06-24,72,Greed
02-06-24,73,Greed
03-06-24,73,Greed
04-06-24,73,Greed
05-06-24,75,Greed
06-06-24,78,Extreme Greed
07-06-24,77,Extreme Greed
08-06-24,72,Greed
09-06-24,75,Greed
10-06-24,72,Greed
11-06-24,74,Greed
12-06-24,72,Greed
13-06-24,70,Greed
14-06-24,74,Greed
15-06-24,74,Greed
16-06-24,71,Greed
17-06-24,71,Greed
18-06-24,74,Greed
19-06-24,64,Greed
20-06-24,60,Greed
21-06-24,63,Greed
22-06-24,53,Neutral
23-06-24,55,Greed
24-06-24,51,Neutral
25-06-24,30,Fear
26-06-24,46,Fear
27-06-24,40,Fear
28-06-24,47,Neutral
29-06-24,30,Fear
30-06-24,47,Neutral
01-07-24,53,Neutral
02-07-24,51,Neutral
03-07-24,50,Neutral
04-07-24,44,Fear
05-07-24,29,Fear
06-07-24,26,Fear
07-07-24,29,Fear
08-07-24,28,Fear
09-07-24,27,Fear
10-07-24,28,Fear
11-07-24,29,Fear
12-07-24,25,Extreme Fear
13-07-24,25,Extreme Fear
14-07-24,33,Fear
15-07-24,52,Neutral
16-07-24,65,Greed
17-07-24,69,Greed
18-07-24,61,Greed
19-07-24,60,Greed
20-07-24,74,Greed
21-07-24,74,Greed
22-07-24,70,Greed
23-07-24,71,Greed
24-07-24,69,Greed
25-07-24,68,Greed
26-07-24,68,Greed
27-07-24,72,Greed
28-07-24,71,Greed
29-07-24,74,Greed
30-07-24,67,Greed
31-07-24,61,Greed
01-08-24,52,Neutral
02-08-24,57,Greed
03-08-24,37,Fear
04-08-24,34,Fear
05-08-24,26,Fear
06-08-24,17,Extreme Fear
07-08-24,29,Fear
08-08-24,20,Extreme Fear
09-08-24,48,Neutral
10-08-24,40,Fear
11-08-24,39,Fear
12-08-24,25,Extreme Fear
13-08-24,31,Fear
14-08-24,30,Fear
15-08-24,29,Fear
16-08-24,27,Fear
17-08-24,25,Extreme Fear
18-08-24,31,Fear
19-08-24,28,Fear
20-08-24,30,Fear
21-08-24,26,Fear
22-08-24,39,Fear
23-08-24,34,Fear
24-08-24,56,Greed
25-08-24,54,Neutral
26-08-24,55,Greed
27-08-24,48,Neutral
28-08-24,30,Fear
29-08-24,29,Fear
30-08-24,34,Fear
31-08-24,29,Fear
01-09-24,26,Fear
02-09-24,26,Fear
03-09-24,26,Fear
04-09-24,27,Fear
05-09-24,29,Fear
06-09-24,22,Extreme Fear
07-09-24,23,Extreme Fear
08-09-24,29,Fear
09-09-24,26,Fear
10-09-24,33,Fear
11-09-24,37,Fear
12-09-24,31,Fear
13-09-24,32,Fear
14-09-24,50,Neutral
15-09-24,51,Neutral
16-09-24,39,Fear
17-09-24,33,Fear
18-09-24,45,Fear
19-09-24,49,Neutral
20-09-24,54,Neutral
21-09-24,54,Neutral
22-09-24,52,Neutral
23-09-24,50,Neutral
24-09-24,54,Neutral
25-09-24,59,Greed
26-09-24,50,Neutral
27-09-24,61,Greed
28-09-24,64,Greed
29-09-24,63,Greed
30-09-24,61,Greed
01-10-24,50,Neutral
02-10-24,42,Fear
03-10-24,37,Fear
04-10-24,41,Fear
05-10-24,49,Neutral
06-10-24,50,Neutral
07-10-24,50,Neutral
08-10-24,49,Neutral
09-10-24,49,Neutral
10-10-24,39,Fear
11-10-24,32,Fear
12-10-24,49,Neutral
13-10-24,50,Neutral
14-10-24,48,Neutral
15-10-24,65,Greed
16-10-24,73,Greed
17-10-24,71,Greed
18-10-24,73,Greed
19-10-24,72,Greed
20-10-24,73,Greed
21-10-24,72,Greed
22-10-24,70,Greed
23-10-24,71,Greed
24-10-24,69,Greed
25-10-24,72,Greed
27-10-24,74,Greed
28-10-24,72,Greed
29-10-24,72,Greed
30-10-24,77,Extreme Greed
31-10-24,77,Extreme Greed
01-11-24,75,Greed
02-11-24,72,Greed
03-11-24,74,Greed
04-11-24,70,Greed
05-11-24,70,Greed
06-11-24,70,Greed
07-11-24,77,Extreme Greed
08-11-24,75,Greed
09-11-24,75,Greed
10-11-24,78,Extreme Greed
11-11-24,76,Extreme Greed
12-11-24,80,Extreme Greed
13-11-24,84,Extreme Greed
14-11-24,88,Extreme Greed
15-11-24,80,Extreme Greed
16-11-24,86,Extreme Greed
17-11-24,90,Extreme Greed
18-11-24,83,Extreme Greed
19-11-24,90,Extreme Greed
20-11-24,83,Extreme Greed
21-11-24,82,Extreme Greed
22-11-24,94,Extreme Greed
23-11-24,93,Extreme Greed
24-11-24,80,Extreme Greed
25-11-24,82,Extreme Greed
26-11-24,79,Extreme Greed
27-11-24,75,Greed
28-11-24,77,Extreme Greed
29-11-24,78,Extreme Greed
30-11-24,84,Extreme Greed
01-12-24,81,Extreme Greed
02-12-24,80,Extreme Greed
03-12-24,76,Extreme Greed
04-12-24,78,Extreme Greed
05-12-24,84,Extreme Greed
06-12-24,72,Greed
07-12-24,75,Greed
08-12-24,79,Extreme Greed
09-12-24,78,Extreme Greed
10-12-24,78,Extreme Greed
11-12-24,74,Greed
12-12-24,83,Extreme Greed
13-12-24,76,Extreme Greed
14-12-24,83,Extreme Greed
15-12-24,80,Extreme Greed
16-12-24,83,Extreme Greed
17-12-24,87,Extreme Greed
18-12-24,81,Extreme Greed
19-12-24,75,Greed
20-12-24,74,Greed
21-12-24,73,Greed
22-12-24,73,Greed
23-12-24,70,Greed
24-12-24,73,Greed
25-12-24,73,Greed
26-12-24,79,Extreme Greed
27-12-24,74,Greed
28-12-24,72,Greed
29-12-24,73,Greed
30-12-24,65,Greed
31-12-24,64,Greed
01-01-25,66,Greed
02-01-25,70,Greed
03-01-25,74,Greed
04-01-25,73,Greed
05-01-25,72,Greed
06-01-25,76,Extreme Greed
07-01-25,78,Extreme Greed
08-01-25,70,Greed
09-01-25,69,Greed
10-01-25,50,Neutral
11-01-25,69,Greed
12-01-25,62,Greed
13-01-25,61,Greed
14-01-25,63,Greed
15-01-25,70,Greed
16-01-25,75,Greed
17-01-25,75,Greed
18-01-25,77,Extreme Greed
19-01-25,77,Extreme Greed
20-01-25,76,Extreme Greed
21-01-25,76,Extreme Greed
22-01-25,84,Extreme Greed
23-01-25,75,Greed
24-01-25,75,Greed
25-01-25,75,Greed
26-01-25,73,Greed
27-01-25,71,Greed
28-01-25,72,Greed
29-01-25,72,Greed
30-01-25,70,Greed
31-01-25,76,Extreme Greed
01-02-25,68,Greed
02-02-25,60,Greed
03-02-25,44,Fear
04-02-25,72,Greed
05-02-25,54,Neutral
06-02-25,49,Neutral
07-02-25,44,Fear
08-02-25,44,Fear
09-02-25,46,Fear
10-02-25,43,Fear
11-02-25,47,Neutral
12-02-25,46,Fear
13-02-25,50,Neutral
14-02-25,48,Neutral
15-02-25,50,Neutral
16-02-25,54,Neutral
17-02-25,51,Neutral
18-02-25,47,Neutral
19-02-25,44,Fear
20-02-25,49,Neutral
21-02-25,55,Greed
22-02-25,49,Neutral
23-02-25,50,Neutral
24-02-25,49,Neutral
25-02-25,25,Extreme Fear
26-02-25,21,Extreme Fear
27-02-25,10,Extreme Fear
28-02-25,16,Extreme Fear
